31-03-2026 18:28:37 | GET | cafeteria-api/produtos
31-03-2026 18:28:38 | GET | cafeteria-api/produtos
31-03-2026 18:30:15 | GET | cafeteria-api/produtos
31-03-2026 18:30:20 | GET | cafeteria-api/produtos
31-03-2026 18:30:25 | GET | cafeteria-api/produtos
31-03-2026 18:30:28 | GET | cafeteria-api/produtos
31-03-2026 18:30:31 | GET | cafeteria-api/produtos
31-03-2026 18:30:34 | GET | cafeteria-api/produtos
31-03-2026 18:30:41 | GET | cafeteria-api/produtos
31-03-2026 18:36:06 | GET | cafeteria-api/categorias
31-03-2026 18:36:08 | POST | cafeteria-api/categorias
31-03-2026 18:36:08 | GET | cafeteria-api/categorias
31-03-2026 18:36:09 | OPTIONS | cafeteria-api/categorias/9
31-03-2026 18:36:09 | DELETE | cafeteria-api/categorias/9
31-03-2026 18:36:09 | GET | cafeteria-api/categorias
31-03-2026 18:36:12 | POST | cafeteria-api/categorias
31-03-2026 18:36:12 | GET | cafeteria-api/categorias
31-03-2026 18:36:27 | OPTIONS | cafeteria-api/categorias/10
31-03-2026 18:36:27 | DELETE | cafeteria-api/categorias/10
31-03-2026 18:36:28 | GET | cafeteria-api/categorias
31-03-2026 18:45:31 | GET | cafeteria-api/produtos
31-03-2026 18:45:32 | GET | cafeteria-api/produtos
31-03-2026 18:46:03 | GET | cafeteria-API/produtos
31-03-2026 18:46:05 | GET | Cafeteria-API/produtos
31-03-2026 18:46:23 | GET | Cafeteria-API/produtos
31-03-2026 18:46:26 | GET | Cafeteria-API/produtos
31-03-2026 18:46:28 | GET | Cafeteria-API/produtos
31-03-2026 18:46:29 | GET | Cafeteria-API/categorias
31-03-2026 18:46:47 | GET | Cafeteria-API/produtos
31-03-2026 18:47:08 | GET | Cafeteria-API/produtos
31-03-2026 18:47:15 | GET | Cafeteria-API/produtos
31-03-2026 18:47:23 | GET | Cafeteria-API/produtos
31-03-2026 18:47:26 | GET | Cafeteria-API/produtos
31-03-2026 18:47:28 | GET | Cafeteria-API/produtos
31-03-2026 18:47:32 | GET | Cafeteria-API/produtos
31-03-2026 18:47:53 | GET | Cafeteria-API/produtos
31-03-2026 18:47:53 | GET | Cafeteria-API/produtos
31-03-2026 18:47:54 | GET | Cafeteria-API/produtos
31-03-2026 18:47:54 | GET | Cafeteria-API/produtos
31-03-2026 18:47:54 | GET | Cafeteria-API/produtos
31-03-2026 18:47:54 | GET | Cafeteria-API/produtos
31-03-2026 18:47:55 | GET | Cafeteria-API/produtos
31-03-2026 18:47:55 | GET | Cafeteria-API/produtos
31-03-2026 18:47:55 | GET | Cafeteria-API/produtos
31-03-2026 18:48:12 | GET | Cafeteria-API/produtos
31-03-2026 18:48:12 | GET | Cafeteria-API/produtos
31-03-2026 18:48:15 | GET | Cafeteria-API/produtos
31-03-2026 18:48:26 | GET | Cafeteria-API/produtos
31-03-2026 18:48:28 | GET | Cafeteria-API/produtos
31-03-2026 18:58:02 | GET | Cafeteria-API/produtos
31-03-2026 19:00:10 | GET | Cafeteria-API/produtos
31-03-2026 19:00:12 | GET | Cafeteria-API/produtos
31-03-2026 19:00:19 | GET | Cafeteria-API/produtos
