2026-04-10 15:01:01 | GET | meus-planos-api/itens
rias
2026-04-10 15:01:14 | GET | meus-planos-api/itens
rias
2026-04-10 15:32:02 | GET | meus-planos-api/itens
rias
2026-04-10 15:32:43 | GET | meus-planos-api/categorias
2026-04-10 15:32:46 | GET | meus-planos-api/categorias
2026-04-10 15:32:48 | GET | meus-planos-api/itens
rias
2026-04-10 15:32:54 | GET | meus-planos-api/itens
2026-04-10 15:32:54 | GET | meus-planos-api/categorias
2026-04-10 15:33:18 | GET | meus-planos-api/itens
rias
2026-04-10 15:33:22 | GET | meus-planos-api/itens
2026-04-10 15:33:22 | GET | meus-planos-api/categorias
2026-04-10 15:33:41 | GET | meus-planos-api/categorias
2026-04-10 15:33:48 | GET | meus-planos-api/itens
2026-04-10 15:33:48 | GET | meus-planos-api/categorias
2026-04-10 15:33:52 | GET | meus-planos-api/itens
rias
2026-04-10 15:34:00 | GET | meus-planos-api/itens
2026-04-10 15:34:00 | GET | meus-planos-api/categorias
2026-04-10 15:34:01 | GET | meus-planos-api/categorias
2026-04-10 15:34:02 | OPTIONS | meus-planos-api/categorias/2
2026-04-10 15:34:02 | DELETE | meus-planos-api/categorias/2
2026-04-10 15:34:02 | GET | meus-planos-api/categorias
2026-04-10 15:34:09 | POST | meus-planos-api/categorias
2026-04-10 15:34:09 | GET | meus-planos-api/categorias
2026-04-10 15:34:10 | GET | meus-planos-api/itens
2026-04-10 15:34:10 | GET | meus-planos-api/categorias
2026-04-10 15:35:42 | GET | meus-planos-api/categorias
2026-04-10 15:37:41 | GET | meus-planos-api/categorias
2026-04-10 15:38:22 | GET | meus-planos-api/itens
2026-04-10 15:38:22 | GET | meus-planos-api/categorias
2026-04-10 15:38:27 | OPTIONS | meus-planos-api/itens
2026-04-10 15:38:27 | POST | meus-planos-api/itens
2026-04-10 15:39:31 | GET | meus-planos-api/itens
2026-04-10 15:39:31 | GET | meus-planos-api/categorias
2026-04-10 15:41:55 | GET | meus-planos-api/categorias
2026-04-10 15:41:55 | GET | meus-planos-api/itens
2026-04-10 15:41:56 | GET | meus-planos-api/categorias
2026-04-10 15:41:56 | GET | meus-planos-api/itens
2026-04-10 15:41:59 | GET | meus-planos-api/itens
rias
2026-04-10 15:41:59 | GET | meus-planos-api/itens
2026-04-10 15:42:02 | GET | meus-planos-api/itens
rias
2026-04-10 15:42:02 | GET | meus-planos-api/itens
2026-04-10 15:42:10 | GET | meus-planos-api/itens
rias
2026-04-10 15:42:10 | GET | meus-planos-api/itens
2026-04-10 15:42:54 | GET | meus-planos-api/categorias
2026-04-10 15:42:54 | GET | meus-planos-api/itens
2026-04-10 15:42:55 | GET | meus-planos-api/itens
2026-04-10 15:42:55 | GET | meus-planos-api/categorias
2026-04-10 15:42:55 | GET | meus-planos-api/itens
2026-04-10 15:43:10 | OPTIONS | meus-planos-api/itens
2026-04-10 15:43:10 | POST | meus-planos-api/itens
2026-04-10 15:43:10 | GET | meus-planos-api/itens
2026-04-10 15:43:37 | OPTIONS | meus-planos-api/itens
2026-04-10 15:43:37 | POST | meus-planos-api/itens
2026-04-10 15:43:37 | GET | meus-planos-api/itens
2026-04-10 15:43:47 | GET | meus-planos-api/itens
2026-04-10 15:43:47 | GET | meus-planos-api/categorias
2026-04-10 15:43:47 | GET | meus-planos-api/itens
2026-04-10 15:43:51 | GET | meus-planos-api/itens
rias
2026-04-10 15:43:51 | GET | meus-planos-api/itens
2026-04-10 15:43:55 | GET | meus-planos-api/itens
2026-04-10 15:43:55 | GET | meus-planos-api/categorias
2026-04-10 15:43:55 | GET | meus-planos-api/itens
2026-04-10 15:45:03 | GET | meus-planos-api/itens
rias
2026-04-10 15:45:03 | GET | meus-planos-api/itens
2026-04-10 15:47:17 | GET | meus-planos-api/itens
2026-04-10 15:47:17 | GET | meus-planos-api/categorias
2026-04-10 15:47:17 | GET | meus-planos-api/itens
2026-04-10 15:48:40 | GET | meus-planos-api/categorias
2026-04-10 15:48:40 | GET | meus-planos-api/itens
2026-04-10 15:48:44 | GET | meus-planos-api/itens
2026-04-10 15:48:44 | GET | meus-planos-api/categorias
2026-04-10 15:48:44 | GET | meus-planos-api/itens
2026-04-10 15:48:51 | GET | meus-planos-api/itens
rias
2026-04-10 15:48:51 | GET | meus-planos-api/itens
2026-04-10 15:48:55 | OPTIONS | meus-planos-api/itens
2026-04-10 15:48:55 | POST | meus-planos-api/itens
2026-04-10 15:48:55 | GET | meus-planos-api/itens
2026-04-10 15:50:34 | GET | meus-planos-api/itens
rias
2026-04-10 15:50:34 | GET | meus-planos-api/itens
2026-04-10 15:50:38 | GET | meus-planos-api/categorias
2026-04-10 15:50:38 | GET | meus-planos-api/itens
2026-04-10 15:50:38 | GET | meus-planos-api/itens
2026-04-10 15:50:40 | GET | meus-planos-api/itens
2026-04-10 15:50:40 | GET | meus-planos-api/categorias
2026-04-10 15:50:40 | GET | meus-planos-api/itens
2026-04-10 15:50:46 | GET | meus-planos-api/itens
rias
2026-04-10 15:50:46 | GET | meus-planos-api/itens
2026-04-10 15:50:48 | GET | meus-planos-api/categorias
2026-04-10 15:50:56 | POST | meus-planos-api/categorias
2026-04-10 15:50:56 | GET | meus-planos-api/categorias
2026-04-10 15:50:58 | GET | meus-planos-api/itens
2026-04-10 15:50:58 | GET | meus-planos-api/categorias
2026-04-10 15:50:58 | GET | meus-planos-api/itens
2026-04-10 15:51:12 | OPTIONS | meus-planos-api/itens
2026-04-10 15:51:12 | POST | meus-planos-api/itens
2026-04-10 15:51:12 | GET | meus-planos-api/itens
2026-04-10 15:51:18 | OPTIONS | meus-planos-api/itens/2
2026-04-10 15:51:18 | DELETE | meus-planos-api/itens/2
2026-04-10 15:51:18 | GET | meus-planos-api/itens
2026-04-10 15:51:40 | OPTIONS | meus-planos-api/itens/5
2026-04-10 15:51:40 | DELETE | meus-planos-api/itens/5
2026-04-10 15:51:40 | GET | meus-planos-api/itens
2026-04-10 15:51:42 | OPTIONS | meus-planos-api/itens/4
2026-04-10 15:51:42 | DELETE | meus-planos-api/itens/4
2026-04-10 15:51:42 | GET | meus-planos-api/itens
2026-04-10 15:51:42 | OPTIONS | meus-planos-api/itens/3
2026-04-10 15:51:42 | DELETE | meus-planos-api/itens/3
2026-04-10 15:51:42 | GET | meus-planos-api/itens
2026-04-10 15:52:18 | GET | meus-planos-api/itens
rias
2026-04-10 15:52:18 | GET | meus-planos-api/itens
2026-04-10 15:52:22 | GET | meus-planos-api/itens
rias
2026-04-10 15:52:22 | GET | meus-planos-api/itens
2026-04-10 15:52:22 | GET | meus-planos-api/categorias
2026-04-10 15:52:22 | GET | meus-planos-api/itens
2026-04-10 15:52:22 | GET | meus-planos-api/itens
2026-04-10 15:52:29 | GET | meus-planos-api/itens
2026-04-10 15:52:29 | GET | meus-planos-api/categorias
2026-04-10 15:52:29 | GET | meus-planos-api/itens
2026-04-10 15:52:31 | GET | meus-planos-api/itens
rias
2026-04-10 15:52:31 | GET | meus-planos-api/itens
2026-04-10 15:52:35 | OPTIONS | meus-planos-api/itens
2026-04-10 15:52:36 | POST | meus-planos-api/itens
2026-04-10 15:52:36 | GET | meus-planos-api/itens
2026-04-10 15:52:46 | GET | meus-planos-api/categorias
2026-04-10 15:53:11 | POST | meus-planos-api/categorias
2026-04-10 15:53:11 | GET | meus-planos-api/categorias
2026-04-10 15:53:14 | GET | meus-planos-api/itens
2026-04-10 15:53:14 | GET | meus-planos-api/categorias
2026-04-10 15:53:14 | GET | meus-planos-api/itens
2026-04-10 15:53:37 | OPTIONS | meus-planos-api/itens
2026-04-10 15:53:37 | POST | meus-planos-api/itens
2026-04-10 15:53:37 | GET | meus-planos-api/itens
2026-04-10 15:54:57 | GET | meus-planos-api/categorias
2026-04-10 15:54:57 | GET | meus-planos-api/itens
2026-04-10 15:54:57 | GET | meus-planos-api/itens
2026-04-10 15:54:59 | GET | meus-planos-api/itens
rias
2026-04-10 15:54:59 | GET | meus-planos-api/itens
2026-04-10 15:55:02 | GET | meus-planos-api/itens
2026-04-10 15:55:02 | GET | meus-planos-api/categorias
2026-04-10 15:55:02 | GET | meus-planos-api/itens
2026-04-10 15:55:04 | OPTIONS | meus-planos-api/itens/7
2026-04-10 15:55:04 | PUT | meus-planos-api/itens/7
2026-04-10 15:55:18 | OPTIONS | meus-planos-api/itens/7
2026-04-10 15:55:18 | PUT | meus-planos-api/itens/7
2026-04-10 15:55:19 | PUT | meus-planos-api/itens/7
2026-04-10 15:55:19 | PUT | meus-planos-api/itens/7
2026-04-10 15:55:20 | PUT | meus-planos-api/itens/7
2026-04-10 15:56:33 | OPTIONS | meus-planos-api/itens/7
2026-04-10 15:56:33 | PUT | meus-planos-api/itens/7
2026-04-10 15:56:34 | PUT | meus-planos-api/itens/7
2026-04-10 15:56:58 | OPTIONS | meus-planos-api/itens/6
2026-04-10 15:56:58 | PUT | meus-planos-api/itens/6
2026-04-10 15:57:49 | GET | meus-planos-api/categorias
2026-04-10 15:57:49 | GET | meus-planos-api/itens
2026-04-10 15:57:49 | GET | meus-planos-api/itens
2026-04-10 15:58:01 | GET | meus-planos-api/itens
2026-04-10 15:58:01 | GET | meus-planos-api/categorias
2026-04-10 15:58:01 | GET | meus-planos-api/itens
2026-04-10 15:58:04 | GET | meus-planos-api/itens
2026-04-10 15:58:04 | GET | meus-planos-api/categorias
2026-04-10 15:58:04 | GET | meus-planos-api/itens
2026-04-10 15:58:12 | GET | meus-planos-api/itens
2026-04-10 15:58:12 | GET | meus-planos-api/categorias
2026-04-10 15:58:12 | GET | meus-planos-api/itens
2026-04-10 15:58:16 | GET | meus-planos-api/categorias
2026-04-10 15:58:16 | GET | meus-planos-api/itens
2026-04-10 15:58:16 | GET | meus-planos-api/itens
2026-04-10 15:58:17 | GET | meus-planos-api/categorias
2026-04-10 15:58:17 | GET | meus-planos-api/itens
2026-04-10 15:58:28 | GET | meus-planos-api/categorias
2026-04-10 15:58:28 | GET | meus-planos-api/itens
2026-04-10 15:59:31 | GET | meus-planos-api/itens
2026-04-10 15:59:31 | GET | meus-planos-api/categorias
2026-04-10 15:59:31 | GET | meus-planos-api/itens
2026-04-10 15:59:35 | GET | meus-planos-api/categorias
